Home ID,Date,Appliance Type,Energy Consumption (kWh)
1,2023-01-05,Lights,0.91
1,2023-01-07,Heater,4.59
1,2023-01-07,Air Conditioning,2.77
1,2023-01-08,Washing Machine,1.7
1,2023-01-10,TV,0.7
1,2023-01-12,Lights,1.21
1,2023-01-13,Oven,1.69
1,2023-01-14,Oven,1.29
1,2023-01-14,Air Conditioning,4.8
1,2023-01-15,Air Conditioning,3.13
1,2023-01-19,Air Conditioning,3.1
1,2023-01-27,Computer,1.9
1,2023-01-28,Dishwasher,0.47
1,2023-01-28,Computer,1.07
1,2023-01-29,Air Conditioning,4.16
1,2023-01-31,Dishwasher,1.44
1,2023-02-01,Oven,1.45
1,2023-02-02,Air Conditioning,4.36
1,2023-02-03,Lights,1.12
1,2023-02-06,Fridge,0.11
1,2023-02-06,Dishwasher,1.07
1,2023-02-08,Dishwasher,0.53
1,2023-02-09,Washing Machine,0.87
1,2023-02-14,Oven,1.11
1,2023-02-16,Oven,0.57
1,2023-02-17,Heater,4.88
1,2023-02-22,Heater,3.65
1,2023-02-23,Heater,3.89
1,2023-02-23,TV,0.67
1,2023-02-24,Heater,3.13
1,2023-02-27,Lights,1.5
1,2023-03-01,Heater,3.06
1,2023-03-03,TV,1.32
1,2023-03-07,Heater,2.7
1,2023-03-08,Microwave,0.46
1,2023-03-09,Microwave,0.73
1,2023-03-10,Oven,0.71
1,2023-03-12,Heater,3.62
1,2023-03-12,Computer,1.36
1,2023-03-14,Washing Machine,1.91
1,2023-03-15,Air Conditioning,2.85
1,2023-03-16,Air Conditioning,2.03
1,2023-03-17,Microwave,1.63
1,2023-03-19,Washing Machine,0.59
1,2023-03-21,TV,1.82
1,2023-03-22,Fridge,0.1
1,2023-03-25,Heater,4.56
1,2023-03-26,Heater,3.98
1,2023-03-27,Fridge,0.37
1,2023-03-27,Oven,1.85
1,2023-03-27,Washing Machine,0.72
1,2023-03-29,Microwave,1.79
1,2023-04-04,Washing Machine,1.73
1,2023-04-05,Computer,1.27
1,2023-04-08,Washing Machine,0.72
1,2023-04-08,Microwave,1.82
1,2023-04-14,Computer,1.68
1,2023-04-14,TV,0.3
1,2023-04-15,Heater,3.47
1,2023-04-17,Fridge,0.12
1,2023-04-19,Microwave,1.96
1,2023-04-20,Air Conditioning,3.63
1,2023-04-22,TV,0.26
1,2023-04-27,Oven,1.88
1,2023-04-29,Washing Machine,1.34
1,2023-04-29,Lights,1.71
1,2023-04-30,Heater,2.54
1,2023-04-30,TV,0.83
1,2023-04-30,TV,0.21
1,2023-05-02,Computer,1.73
1,2023-05-06,Computer,0.26
1,2023-05-12,Dishwasher,0.59
1,2023-05-12,Microwave,0.75
1,2023-05-15,Oven,1.51
1,2023-05-16,Heater,4.74
1,2023-05-19,Lights,1.04
1,2023-05-20,Lights,1.8
1,2023-05-20,Air Conditioning,3.85
1,2023-05-21,Fridge,0.34
1,2023-05-21,Fridge,0.37
1,2023-05-23,Heater,4.03
1,2023-05-23,Dishwasher,1.66
1,2023-05-23,Oven,1.82
1,2023-05-25,Oven,0.43
1,2023-05-26,Computer,0.96
1,2023-05-26,Dishwasher,1.1
1,2023-05-27,Oven,0.79
1,2023-05-28,Computer,0.96
1,2023-05-29,TV,1.71
1,2023-05-29,Computer,1.96
1,2023-05-30,Computer,0.49
1,2023-06-01,Oven,0.96
1,2023-06-03,Fridge,0.36
1,2023-06-03,Lights,1.31
1,2023-06-03,Lights,1.12
1,2023-06-03,Air Conditioning,4.61
1,2023-06-04,TV,0.98
1,2023-06-04,Washing Machine,0.87
1,2023-06-07,Heater,2.37
1,2023-06-09,Computer,1.1
1,2023-06-11,Heater,2.04
1,2023-06-11,Microwave,1.46
1,2023-06-11,Washing Machine,1.41
1,2023-06-14,Lights,1.87
1,2023-06-17,Heater,4.06
1,2023-06-21,TV,0.21
1,2023-06-26,Microwave,1.31
1,2023-06-26,Oven,0.56
1,2023-07-02,Lights,0.86
1,2023-07-03,Oven,0.34
1,2023-07-04,Computer,1.96
1,2023-07-06,Air Conditioning,4.09
1,2023-07-07,Heater,2.05
1,2023-07-08,Washing Machine,0.56
1,2023-07-09,Dishwasher,0.61
1,2023-07-10,TV,1.39
1,2023-07-15,Oven,1.25
1,2023-07-16,Fridge,0.12
1,2023-07-20,Dishwasher,1.78
1,2023-07-20,Heater,2.94
1,2023-07-24,Microwave,1.61
